label,person_name,record_name,record_key,beat_index,record_path,segment_type,start_idx,end_idx,rpeak_idx,rr_len_raw,kept_by_threshold,true_label,cls_pred,beat_pred,beat_sim_score,gallery_pred,gallery_sim_score,cls_correct,beat_correct,gallery_correct
0,Person_01,rec_1,0_rec_1,0,C:\Users\User\Downloads\26-1_Capstone-main\26-1_Capstone-main\data\ecg-id-database-1.0.0\Person_01\rec_1,rr_segment,351,727,351,376,True,0,54,54,0.7490403652191162,54,0.7109007835388184,0,0,0
0,Person_01,rec_1,0_rec_1,1,C:\Users\User\Downloads\26-1_Capstone-main\26-1_Capstone-main\data\ecg-id-database-1.0.0\Person_01\rec_1,rr_segment,727,1134,727,407,True,0,54,54,0.9327142238616943,54,0.870477557182312,0,0,0
0,Person_01,rec_1,0_rec_1,4,C:\Users\User\Downloads\26-1_Capstone-main\26-1_Capstone-main\data\ecg-id-database-1.0.0\Person_01\rec_1,rr_segment,2066,2524,2066,458,True,0,54,54,0.9225910305976868,54,0.911163330078125,0,0,0
0,Person_01,rec_1,0_rec_1,6,C:\Users\User\Downloads\26-1_Capstone-main\26-1_Capstone-main\data\ecg-id-database-1.0.0\Person_01\rec_1,rr_segment,2991,3436,2991,445,True,0,54,54,0.8266045451164246,54,0.7690619230270386,0,0,0
0,Person_01,rec_1,0_rec_1,7,C:\Users\User\Downloads\26-1_Capstone-main\26-1_Capstone-main\data\ecg-id-database-1.0.0\Person_01\rec_1,rr_segment,3436,3869,3436,433,True,0,45,45,0.826668381690979,45,0.736182451248169,0,0,0
0,Person_01,rec_1,0_rec_1,8,C:\Users\User\Downloads\26-1_Capstone-main\26-1_Capstone-main\data\ecg-id-database-1.0.0\Person_01\rec_1,rr_segment,3869,4292,3869,423,True,0,54,54,0.9129352569580078,54,0.9185755848884583,0,0,0
0,Person_01,rec_1,0_rec_1,9,C:\Users\User\Downloads\26-1_Capstone-main\26-1_Capstone-main\data\ecg-id-database-1.0.0\Person_01\rec_1,rr_segment,4292,4707,4292,415,True,0,54,45,0.9015522003173828,54,0.8389462232589722,0,0,0
0,Person_01,rec_1,0_rec_1,10,C:\Users\User\Downloads\26-1_Capstone-main\26-1_Capstone-main\data\ecg-id-database-1.0.0\Person_01\rec_1,rr_segment,4707,5117,4707,410,True,0,54,54,0.9014080762863159,54,0.8620150089263916,0,0,0
0,Person_01,rec_1,0_rec_1,11,C:\Users\User\Downloads\26-1_Capstone-main\26-1_Capstone-main\data\ecg-id-database-1.0.0\Person_01\rec_1,rr_segment,5117,5496,5117,379,True,0,54,54,0.8958640098571777,54,0.8652498722076416,0,0,0
0,Person_01,rec_1,0_rec_1,12,C:\Users\User\Downloads\26-1_Capstone-main\26-1_Capstone-main\data\ecg-id-database-1.0.0\Person_01\rec_1,rr_segment,5496,5864,5496,368,True,0,45,45,0.8484438061714172,71,0.7625458240509033,0,0,0
0,Person_01,rec_1,0_rec_1,14,C:\Users\User\Downloads\26-1_Capstone-main\26-1_Capstone-main\data\ecg-id-database-1.0.0\Person_01\rec_1,rr_segment,6224,6587,6224,363,True,0,45,45,0.9334170818328857,45,0.8655800819396973,0,0,0
0,Person_01,rec_1,0_rec_1,15,C:\Users\User\Downloads\26-1_Capstone-main\26-1_Capstone-main\data\ecg-id-database-1.0.0\Person_01\rec_1,rr_segment,6587,6958,6587,371,True,0,54,54,0.9019878506660461,54,0.8244112133979797,0,0,0
0,Person_01,rec_1,0_rec_1,16,C:\Users\User\Downloads\26-1_Capstone-main\26-1_Capstone-main\data\ecg-id-database-1.0.0\Person_01\rec_1,rr_segment,6958,7346,6958,388,True,0,45,45,0.8838807940483093,45,0.8102307319641113,0,0,0
0,Person_01,rec_1,0_rec_1,17,C:\Users\User\Downloads\26-1_Capstone-main\26-1_Capstone-main\data\ecg-id-database-1.0.0\Person_01\rec_1,rr_segment,7346,7734,7346,388,True,0,45,45,0.8741069436073303,45,0.8107397556304932,0,0,0
